"","CNT","CNTSTUID","CNTSCHID","ST004D01T","ST001D01T","DISCLIM","ANXMAT","ICTRES","ESCS","PV1MATH","ST259Q01JA","ICTSCH","ICTHOME","ICTQUAL","W_FSTUWT","SCHSEL","SCHLTYPE","W_SCHGRNRABWT"
"16406","CAN",12427790,12400922,2,9,NA,NA,-0.3727,0.2945,521.785,NA,NA,NA,NA,24.93147,3,3,3.38213
"16407","CAN",12427791,12400345,1,10,NA,NA,1.253,0.3221,530.261,NA,NA,NA,NA,3.79628,3,3,1.01499
"16408","CAN",12427792,12400903,2,11,NA,NA,1.6577,1.9862,455.249,NA,NA,NA,NA,30.41681,1,3,3.19754
"16409","CAN",12427794,12400230,2,10,0.7029,0.8918,0.9916,1.0391,523.469,NA,NA,NA,NA,24.2565,2,3,3.21593
"16410","CAN",12427795,12400046,2,10,-1.1764,0.4252,-0.0487,0.5898,551.016,NA,NA,NA,NA,5.90389,1,3,1.01209
"16411","CAN",12427796,12400789,2,10,1.8365,0.051,-0.2699,-0.2003,492.806,NA,NA,NA,NA,3.71354,1,3,1.05289
"16412","CAN",12427800,12400911,1,10,-0.5288,0.429,-0.1065,0.4463,537.315,NA,NA,NA,NA,17.73824,3,2,1.74067
"16413","CAN",12427801,12400381,1,10,-0.1354,1.8028,1.9787,1.2614,461.123,NA,NA,NA,NA,39.0306,1,3,3.31063
"16414","CAN",12427802,12400101,2,10,-0.9727,2.6109,1.333,0.5558,371.522,NA,NA,NA,NA,4.51363,2,3,1.01499
"16415","CAN",12427803,12400571,1,10,-0.3382,0.6387,1.2108,0.4943,536.36,NA,NA,NA,NA,30.34449,3,1,22.08423
"16416","CAN",12427804,12400435,1,10,0.6461,1.0112,1.0677,0.8253,463.89,NA,NA,NA,NA,36.93258,1,3,3.91485
"16417","CAN",12427805,12400159,2,10,1.0761,-0.508,0.5485,0.6093,431.982,NA,NA,NA,NA,5.74433,3,3,1.01209
"16418","CAN",12427806,12400699,1,10,-1.0183,1.2918,-1.3759,-1.2048,427.398,NA,NA,NA,NA,3.59127,1,3,1.02946
"16419","CAN",12427807,12400448,1,10,0.9899,2.5429,0.584,0.042,469.381,NA,NA,NA,NA,34.08434,2,3,6.43504
"16420","CAN",12427808,12400802,2,10,0.0968,0.4252,0.6281,-0.7224,455.438,NA,NA,NA,NA,7.5411,2,3,1.01209
"16421","CAN",12427809,12400866,1,10,-0.0611,NA,-0.8382,0.0478,546.984,NA,NA,NA,NA,20.882,2,3,6.12211
"16422","CAN",12427810,12400883,1,10,NA,NA,0.398,-0.3651,412.046,NA,NA,NA,NA,7.10991,1,3,1.02029
"16423","CAN",12427811,12400333,2,10,-0.3243,-0.755,0.8172,-0.1392,456.779,NA,NA,NA,NA,5.24861,1,3,1
"16424","CAN",12427812,12400429,2,10,NA,NA,1.3737,0.3385,381.533,NA,NA,NA,NA,7.01053,3,3,1.02946
"16425","CAN",12427813,12400894,2,10,-2.4128,2.5026,1.253,-0.0924,388.737,NA,NA,NA,NA,4.62305,3,3,3.74247
"16426","CAN",12427814,12400586,2,10,-0.6497,0.5653,0.6129,0.9327,430.416,NA,NA,NA,NA,27.9241,1,3,3.90226
"16427","CAN",12427815,12400472,1,10,-0.4763,-0.2045,1.8367,1.9772,672.512,NA,NA,NA,NA,16.17409,3,1,6.66636
"16428","CAN",12427816,12400652,1,10,0.9297,0.1932,1.0009,0.9656,530.248,NA,NA,NA,NA,6.59277,3,3,4.44792
"16429","CAN",12427817,12400819,2,10,-0.2771,1.5426,1.082,0.8518,627.106,NA,NA,NA,NA,25.31963,3,3,2.6059
"16430","CAN",12427818,12400527,1,10,1.8153,-0.508,0.0966,0.9654,630.528,NA,NA,NA,NA,14.42279,1,3,1.08377
"16431","CAN",12427823,12400221,1,10,-0.0968,0.544,-0.2749,0.0148,367.568,NA,NA,NA,NA,33.06961,1,3,1.48839
"16432","CAN",12427825,12400503,2,10,1.1855,1.8028,0.0019,0.7906,636.902,NA,NA,NA,NA,25.78511,1,3,9.935
"16433","CAN",12427826,12400393,2,9,NA,NA,-5.0261,-1.6595,319.805,NA,NA,NA,NA,4.30711,3,1,3.86155
"16434","CAN",12427827,12400326,2,10,NA,-2.3558,0.6772,0.0022,421.844,NA,NA,NA,NA,1.79453,NA,3,1.00673
