"","STU_ID","SCH_ID","BYSTUWT","STRAT_ID","PSU","G10COHRT","BYGRDRPT","BYMATHSE","BYSES1","BYRACE","BYSEX","BYTXCSTD","BYRISKFC","BYSTEXP","BYINCOME"
"101",103102,-5,213.852,103,1,1,2,-9,-1.11,4,1,38.66,4,5,2
"102",103103,-5,213.852,103,1,1,0,-0.896,0.13,5,1,45.24,0,-1,8
"103",103104,-5,555.7111,103,1,1,0,-0.365,0.06,7,2,57.22,0,5,11
"104",103107,-5,498.2126,103,1,1,1,0.322,0.52,3,1,44.79,2,2,9
"105",103108,-5,584.256,103,1,1,0,-0.869,0.8,7,1,55.92,0,7,11
"106",103109,-5,555.7111,103,1,1,0,-0.63,0.59,7,2,54.82,0,-1,10
"107",103110,-5,555.7111,103,1,1,0,-0.869,0.19,7,2,61.34,0,6,12
"108",103111,-5,469.97,103,1,1,0,1.772,-0.41,3,2,50.72,1,5,9
"109",103112,-5,213.852,103,1,1,0,-0.116,-0.47,4,1,44.59,1,3,9
"110",103114,-5,498.2126,103,1,1,98,-9,-0.96,3,1,40.08,-4,2,3
"111",103115,-5,204.2429,103,1,1,0,-0.63,-0.92,5,2,48.57,3,5,8
"112",103116,-5,469.97,103,1,1,0,0.571,0.14,3,2,51.98,1,5,9
"113",103117,-5,213.852,103,1,1,0,0.121,-1.02,4,1,21.5,2,5,6
"114",103118,-5,555.7111,103,1,1,0,-9,-0.77,7,2,51,0,5,8
"115",103119,-5,213.852,103,1,1,0,0.333,-0.35,4,1,35.85,3,6,6
"116",103122,-5,555.7111,103,1,1,98,0.322,0.3,7,2,46.94,-4,5,10
"117",103124,-5,469.97,103,1,1,0,-9,-0.92,3,2,37.56,2,5,2
"118",103125,-5,204.2429,103,1,1,2,-9,-0.61,4,2,37.17,4,5,6
"119",103126,-5,0,103,1,1,1,-4,-4,-4,-4,40.55,-4,-4,1
"120",103127,-5,584.256,103,1,1,0,1.02,0.84,7,1,58.48,0,7,11
"121",103128,-5,213.852,103,1,1,98,-9,-0.68,4,1,38.43,-4,6,9
"122",103129,-5,584.256,103,1,1,0,0.542,0.4,7,1,50.32,1,5,11
"123",103161,-5,0,103,1,0,2,-8,-8,-8,-8,-8,-8,-8,10
"124",103162,-5,0,103,1,0,0,-8,-8,-8,-8,-8,-8,-8,10
"125",103203,-5,132.6379,103,2,1,0,-9,-1.26,5,2,42.99,4,-1,3
"126",103204,-5,257.9121,103,2,1,0,-0.908,-0.73,7,2,42.08,1,7,7
"127",103205,-5,132.6379,103,2,1,1,-0.144,-0.02,5,2,53.45,1,6,9
"128",103210,-5,34.0122,103,2,1,98,-0.63,-0.07,2,2,49.13,-4,5,7
"129",103212,-5,34.0122,103,2,1,98,-0.63,-1.24,2,2,37.74,-9,5,4
"130",103213,-5,0,103,2,1,1,-8,-8,-8,2,-8,4,-8,3
"131",103214,-5,300.3952,103,2,1,98,-0.63,-0.09,3,1,42,-4,5,8
"132",103215,-5,300.3952,103,2,1,98,-9,-0.79,3,1,56.66,-4,3,8
"133",103218,-5,138.3201,103,2,1,98,-9,-0.65,5,1,38.92,-4,5,7
"134",103219,-5,132.6379,103,2,1,1,-0.392,-0.47,5,2,38.99,2,5,8
"135",103221,-5,284.8058,103,2,1,0,-0.381,0.39,3,2,46.22,1,5,9
"136",103223,-5,138.3201,103,2,1,0,-0.884,0.01,5,1,45.89,2,-1,8
"137",103225,-5,272.2452,103,2,1,1,0.571,0.53,7,1,61.79,3,6,12
"138",103226,-5,132.6379,103,2,1,98,-0.381,-1.35,5,2,45.97,-4,5,4
"139",103229,-5,0,103,2,1,1,-8,-8,-8,1,-8,2,-8,9
"140",103230,-5,0,103,2,1,0,-4,-4,-4,-4,38.61,-4,-4,8
"141",103231,-5,138.3201,103,2,1,0,-0.63,-0.13,5,1,43,3,5,7
"142",103301,-5,143.647,103,3,1,1,0.293,-0.97,7,1,36.3,5,5,2
"143",103302,-5,63.6658,103,3,1,1,-0.869,-1.72,2,1,48.9,2,6,2
"144",103303,-5,63.6658,103,3,1,0,0.332,-0.18,2,1,45.29,2,5,10
"145",103304,-5,580.8775,103,3,1,98,-1.831,0.37,7,2,50.18,-4,5,11
"146",103305,-5,135.357,103,3,1,1,-1.566,-1.04,4,2,44.33,4,2,5
"147",103306,-5,606.8764,103,3,1,0,-0.642,-0.89,7,1,51.68,1,3,10
"148",103307,-5,63.6658,103,3,1,98,-1.08,-0.68,2,1,42.68,-9,5,8
"149",103308,-5,580.8775,103,3,1,0,-9,0.55,6,2,59.6,1,6,10
"150",103309,-5,60.2587,103,3,1,98,-0.63,-0.57,2,2,49.8,-4,5,11
"151",103310,-5,606.8764,103,3,1,0,-9,-0.42,7,1,40.78,1,3,7
"152",103312,-5,580.8775,103,3,1,0,-9,1.19,7,2,52.81,0,6,12
"153",103313,-5,580.8775,103,3,1,98,-0.869,0,7,2,62.26,-9,6,10
"154",103314,-5,60.2587,103,3,1,0,0.607,-1.42,2,2,56.36,3,-1,2
"155",103315,-5,580.8775,103,3,1,1,0.056,-0.56,7,2,42.27,1,5,7
"156",103316,-5,580.8775,103,3,1,98,0.791,-0.81,7,2,52.88,-9,6,8
"157",103317,-5,63.6658,103,3,1,0,-9,-0.98,2,1,63.98,3,6,5
"158",103318,-5,580.8775,103,3,1,0,-0.63,1.2,7,2,58.31,0,6,10
"159",103319,-5,63.6658,103,3,1,0,-0.144,-1.18,2,1,39.24,1,5,4
"160",103320,-5,135.357,103,3,1,1,-0.869,-0.83,4,2,43.03,2,-1,7
"161",103321,-5,580.8775,103,3,1,0,-9,0.23,7,2,44.5,0,5,9
"162",103322,-5,60.2587,103,3,1,0,0.121,-0.4,2,2,50.41,0,4,10
"163",103323,-5,580.8775,103,3,1,0,1.02,-1.01,7,1,56.25,3,7,6
"164",103324,-5,399.2418,103,3,1,1,-9,0.12,3,1,34.32,2,2,9
"165",104101,-5,280.4604,104,1,1,0,-0.867,0.85,7,2,62.58,0,6,13
"166",104102,-5,0,104,1,1,0,-4,-4,-4,-4,50.03,-4,-4,12
"167",104103,-5,484.2018,104,1,1,1,0.121,0.84,3,1,45.17,3,5,10
"168",104104,-5,280.4604,104,1,1,0,-1.133,1.8,7,2,55.12,0,5,13
"169",104105,-5,81.7929,104,1,1,0,-9,0.24,2,1,49.61,2,5,8
"170",104106,-5,280.4604,104,1,1,0,-0.63,-0.5,7,2,31.91,0,2,9
"171",104107,-5,291.0244,104,1,1,0,-1.621,0.52,7,1,60.04,0,5,11
"172",104108,-5,280.4604,104,1,1,0,0.121,0.87,7,2,57.14,0,6,12
"173",104109,-5,484.2018,104,1,1,98,-9,-0.92,5,1,27.49,-9,2,8
"174",104110,-5,291.0244,104,1,1,0,0.056,0.7,7,1,60.99,0,6,11
"175",104111,-5,484.2018,104,1,1,0,-9,0.37,6,1,61.96,2,6,10
"176",104112,-5,291.0244,104,1,1,0,-9,1.39,7,1,57.43,0,6,12
"177",104113,-5,0,104,1,1,0,-4,-4,-4,-4,55.81,-4,-4,11
"178",104115,-5,484.2018,104,1,1,0,-0.63,0.26,3,1,49.04,1,4,11
"179",104116,-5,484.2018,104,1,1,0,-0.63,-0.12,3,1,48.19,0,5,9
"180",104117,-5,78.8375,104,1,1,98,-0.63,1.17,2,2,70.4,-9,7,12
"181",104118,-5,153.9414,104,1,1,0,-9,0.65,5,1,54.21,0,5,11
"182",104119,-5,291.0244,104,1,1,0,-1.621,0.55,7,1,60.25,0,5,10
"183",104122,-5,153.9414,104,1,1,0,-0.393,1.49,4,1,41.2,1,6,12
"184",104123,-5,462.6502,104,1,1,0,-9,0.9,3,2,41.72,1,5,12
"185",104124,-5,0,104,1,1,0,-4,-4,-4,-4,63.45,-4,-4,11
"186",104201,-5,623.2104,104,2,1,0,0.82,0.89,3,1,53.08,1,5,12
"187",104202,-5,411.7863,104,2,1,0,0.332,0.71,7,1,60.47,0,5,11
"188",104203,-5,623.2104,104,2,1,0,0.279,0.3,6,1,55.92,1,7,10
"189",104204,-5,398.0873,104,2,1,0,0.332,1.06,7,2,65.13,0,5,12
"190",104205,-5,411.7863,104,2,1,0,-0.63,-0.77,7,1,52.78,2,6,6
"191",104206,-5,411.7863,104,2,1,0,-9,0.9,7,1,55.13,0,5,12
"192",104207,-5,398.0873,104,2,1,0,1.533,-0.03,7,2,43.87,1,5,10
"193",104208,-5,411.7863,104,2,1,0,0.781,0.84,7,1,63.88,0,5,11
"194",104209,-5,398.0873,104,2,1,0,0.781,0.83,7,2,64.66,0,7,13
"195",104211,-5,398.0873,104,2,1,98,0.544,0.76,7,2,60.44,-9,7,10
"196",104212,-5,411.7863,104,2,1,0,-1.106,-0.84,7,2,44.07,0,5,9
"197",104213,-5,411.7863,104,2,1,0,1.772,-0.03,7,1,62.73,0,-1,8
"198",104214,-5,118.1871,104,2,1,98,0.085,0.04,2,2,61.88,-9,5,9
"199",104215,-5,411.7863,104,2,1,98,-0.878,-0.23,7,1,43.53,-4,-1,9
"200",104216,-5,411.7863,104,2,1,0,0.836,1.06,7,1,52.58,0,7,12
"201",104217,-5,398.0873,104,2,1,0,-9,0.51,7,2,56.49,0,5,11
"202",104218,-5,118.1871,104,2,1,0,-0.365,-0.26,6,2,53.29,1,6,11
"203",104220,-5,398.0873,104,2,1,0,-0.63,0.63,7,2,56.57,1,5,9
"204",104222,-5,123.2733,104,2,1,0,0.808,1.06,2,1,58.32,0,5,12
"205",104223,-5,411.7863,104,2,1,0,1.772,1.65,7,1,70.13,0,6,13
"206",104224,-5,411.7863,104,2,1,0,-0.171,0.86,7,1,48.3,0,4,11
"207",104225,-5,411.7863,104,2,1,0,1.085,0.21,7,1,55.7,1,6,10
"208",104228,-5,398.0873,104,2,1,0,-9,0.69,7,2,52.87,0,5,11
"209",104231,-5,398.0873,104,2,1,0,1.772,-0.52,7,2,54.69,1,6,11
"210",105101,-5,120.5681,105,1,1,98,-0.381,-0.59,7,2,45.18,-4,3,11
"211",105102,-5,120.5681,105,1,1,0,-0.392,0.27,7,2,66.76,0,6,10
"212",105103,-5,123.5966,105,1,1,98,0.82,-0.05,7,1,52.62,-9,6,9
"213",105104,-5,123.5966,105,1,1,98,1.772,-0.22,7,1,53.47,-9,5,10
"214",105105,-5,123.5966,105,1,1,0,-0.857,0.99,7,1,53.52,0,-1,12
"215",105106,-5,120.5681,105,1,1,0,-0.393,-0.28,7,2,54.46,0,5,9
"216",105107,-5,123.5966,105,1,1,0,0.095,0.73,7,1,63.87,0,5,12
"217",105108,-5,123.5966,105,1,1,98,-0.181,0.59,6,1,34.35,-4,1,8
"218",105109,-5,123.5966,105,1,1,98,1.533,-0.76,7,1,60.32,-9,6,9
"219",105110,-5,123.5966,105,1,1,0,0.121,-0.65,7,1,46.41,3,5,4
"220",105111,-5,123.5966,105,1,1,0,-0.42,-1.61,7,1,43.09,2,3,2
"221",105112,-5,123.5966,105,1,1,0,-0.392,1.13,7,1,54.25,0,5,11
"222",105113,-5,123.5966,105,1,1,0,-1.382,-0.5,7,1,41.45,0,2,9
"223",105114,-5,120.5681,105,1,1,0,0.571,-0.93,7,2,49.75,0,5,9
"224",105115,-5,120.5681,105,1,1,0,-0.63,-0.25,7,2,49.92,0,5,10
"225",105116,-5,123.5966,105,1,1,0,0.571,0.55,7,1,44.81,0,5,10
"226",105117,-5,123.5966,105,1,1,0,0.597,0.73,7,1,49.76,0,5,12
"227",105118,-5,120.5681,105,1,1,0,0.571,0.85,7,2,65.96,0,5,12
"228",105119,-5,120.5681,105,1,1,0,-0.171,-1,2,2,62.2,1,-1,8
"229",105120,-5,120.5681,105,1,1,1,-0.63,-0.01,7,2,32.87,2,5,7
