STU_ID,BIPOC,FEMALE,X1TXMTSCOR,X1SES,X1MTHID,X1MTHUTI,X1MTHEFF
11109,1,1,51.6529,.4466,1.16,-.13,-.17
11114,0,0,63.3879,1.3734,1.76,-.3,.1
11120,0,1,59.0118,1.2487,.6,.27,1.62
11125,0,1,48.6345,-.8455,-1.73, , 
11126,1,0, , , , , 
11130,0,1,69.1586,.2836,1.19,.27,1.34
11134,1,0,40.2798,-.4024,.6,1.31, 
11139,1,1,60.07,1.1188,.03,-.7,1.62
11141,0,0,49.26,.1505,.6, , 
11145,1,1,67.7964,1.2559, ,-.3,1.62
11146,0,1,47.4925,-.5465,0,-.3,-.17
11153,1,0, , , , , 
11154,0,1,45.6349,-.7901,-1.16,1.31,-1
11157,0,1,60.3186,-.2033,1.16,-.87,.1
11162,0,1,60.1899,.8066,1.16,-.13,.55
11164,0,1,65.4362,1.0871,.03,-.3,1.62
11168,1,1, , , , , 
11169,0,1,44.8633,-.1473,0,-.3,.1
11170,1,0,36.3329,-.3091,0,-1.33,-.56
11174,1,1,65.1028,-.2123,.6,.5,-1.82
11176,1,1,45.4373,-.139,-1.73,-.3,-1.41
11180,1,1,40.7471,-.6119,-.57,.9,-.17
11184,1,0, , , , , 
11187,1,1,50.3196,.0027,-.57,1.31,-.44
11190,1,0, , , , , 
11191,0,0,56.0481,.2353,.03,.9,.1
11194,0,0,57.9113,.6725,0,-.3,.1
11196,1,1,51.679,-.5007,-1.16,-.36,.55
11197,0,1,45.0727,-.1942,-.57,.9,1.62
11199,1,1,46.328,-.1905,-.57, , 
11206,0,1,47.4244,-.3714,.6,-.3,.1
11211,1,1,46.1296,-.8386,-.57,1.31,-.58
11216,0,0,68.1984,-.4813,.6,-.3,1.62
11220,1,1,45.5058,-.6755,-.57,-.3,-1.41
11228,1,0,63.7633,.6487,.6,-.13,-.17
11232,0,0,51.8437,-.3332,.6,1.31,1.62
11239,1,1,67.847,.5242,1.76,-.3,.1
11249,0,0,28.3465,-.5356,-.57, , 
11251,0,1,62.3748,.6781,.03,-1.74,-.61
11254,0,1,47.606,-.1456,0,.27,-.17
11257,0,1,52.6212,.3707,.6,-.13, 
11259,1,1,51.8387,.2302,.6,-1.33,.27
11260,0,1,36.2379,-.67,.03, , 
11266,1,1,35.0753,-.9992,-1.73,-.3,-.17
11269,0,1,54.5972,-.9595,-.57,-.3,-1.41
11271,1,1,38.9052,.7668,.6,1.31,-.56
11272,1,0,53.2811,.2445,.03,.74,-.17
11275,1,0,46.5552,1.0352,.03,-.53,-.3
11279,1,1,47.9985,.1204,.6,1.31,.94
11283,1,0,44.2574,-.2082,-1.73,-.7,-1.14
11287,0,1,54.8476,.4457,.03,-.3,-.17
11294,0,1,59.8577,.0656,-.57,.27,-.3
11298,1,0,55.4924,.2213,-.57,1.31,.1
11300,1,0,42.6123,-1.5501,1.76,.5,.1
11301,0,1,66.9111,.3709,1.16,.27,1.23
11303,1,0,54.1718,.6688,.6,1.31,.1
11307,1,0, , , , , 
11308,0,1,32.9802,-.8103,.6,-2.13,-1.41
11309,1,0, , , , , 
11323,1,0,62.271,.7678,1.16,.9,1.62
11325,0,0,36.02,.4913,-1.73,-.36,-1.41
11334,0,0,41.6751,-.2624,-1.73,1.31,-.85
11343,1,0,57.7146,1.2968,-.57,.67,-.3
11346,1,1,36.7894,-.4359,-.57,1.31,-2.92
11351, ,0, , , , , 
11352,0,1,46.557,.2901,-1.73,.04,-1.02
11360,0,1,67.4708,1.4423,.6,-.3,-.17
11361,0,0,64.2642,-.0552,-.57,.27,.1
11365,0,1,70.7198,.4073,1.76,.5,1.62
11367,0,0,46.4804,-.1904,-.57,-.3,.1
11369,0,1,49.6839,.2301,.6, , 
11373, ,0, , , , , 
11376,1,0,49.8464,-.4204,-.57,1.31,-.29
11383,0,0,58.8875,.3078,.6,-.07,.1
11384,1,0,43.5537,-.1326,.6,-.3,.1
11385,1,0,50.5465,-1.2098,.6,-.3,.1
11396,0,0,62.8185,.3202,.6,-1.43,1.62
11400,0,1,48.6769,.8891,.03,-.3,.1
11402,0,0,50.1493,.7837,-1.73,.27,.1
11406,1,1,48.3115,-.6061,-1.16,-.93,-.58
11408,0,1,67.5034,.3887,.6,-1.33,.68
11409,1,0,52.2303,-1.3274,.6,1.31,1.21
11411, ,0, , , , , 
11418,1,1,56.3542,.0121,.6,1.31,-.56
11422,1,1,46.996,-.8192,-1.16,-1.33, 
11425,1,0,49.7362,1.3938,1.19,.11,.95
11427,0,1,67.5134,1.0319,.63,.5,-.17
11428,1,1,49.801,-.2739,.6,-2.53,.95
11430,1,1,50.9311,.2032,.6,.27,-.56
11432,1,1,43.6301,.2488,-.57,-.3,-.56
11435,0,1,45.8966,-.2232,-1.13, , 
11436,0,0,54.631,.7584,-.57, , 
11439,1,1,30.0108,-1.43,-1.73,-2.7,-2.92
11440,1,1,45.8971,.3502,0,-.7,.1
11441, ,1, , , , , 
11445, ,0, , , , , 
11448,0,1,51.0345,1.2522,.03,-.3,.95
11457,0,0,58.7185,-.1175,-.57,-.3,.1
11459,0,1,50.2799,-.1997,.6,-.3,-1.41
11460,0,0,29.1953,-.0301,-.53,1.31,-.29
11462,1,0,53.468,-1.0635,.6,.5,.1
11481,1,1,60.121,.4671,1.76,-.3,.1
11483,1,1,37.4536,-.2477,.03,.27,-.29
11488,0,1,54.3191,1.461,.6,.67,.1
11490,0,0,34.2465,-.5402,-1.73,-1.84,.02
11491,1,0,54.9693,.6914,.03,-.93,-.75
11495,1,0,34.1014,.8822,-1.73,-3.51,-2.92
11498,0,1,46.8596,-.9388,-.57, , 
11500,1,1,40.7209,.1192,0,-.3,.1
11501,1,0,62.7187,.0653,.03,-.7,-.58
11503,0,1,40.5441,.4714,-.57,.67,-.29
11504,1,0,47.0799,-.8837,-1.73, , 
11509, ,0, , , , , 
